Resource,Zone,AnnualSum,Capacity,CapacityFactor
TRE_batteries_1,1,1.2514005439867184e6,2267.8,0.0
TRE_biomass_1,1,296963.99999999214,33.9,0.9999999999999736
TRE_conventional_hydroelectric_1,1,365837.7240000024,483.0,0.08646438356164439
TRE_conventional_steam_coal_1,1,3.729339285706733e7,6063.6,0.7020972075201368
TRE_conventional_steam_coal_2,1,-4.117953977811339e-11,0.0,0.0
TRE_natural_gas_fired_combined_cycle_1,1,2.6118777584743043e6,6615.8,0.04506780154624829
TRE_natural_gas_fired_combined_cycle_2,1,9.751725001801042e7,30909.3,0.3601539396375701
TRE_natural_gas_fired_combustion_turbine_1,1,383935.948471993,6658.1,0.006582704468255286
TRE_natural_gas_fired_combustion_turbine_2,1,25894.589113799262,1648.3,0.0017933648750185444
TRE_natural_gas_internal_combustion_engine_1,1,981856.638438856,845.3,0.1325968190535764
TRE_natural_gas_steam_turbine_1,1,-2.0625070984436888e-10,0.0,0.0
TRE_nuclear_1,1,3.744763608839048e7,5120.0,0.834930527798375
TRE_onshore_wind_turbine_1,1,43162.4496961238,21.24913809626196,0.23187859491639384
TRE_petroleum_liquids_1,1,0.0,0.0,0.0
TRE_small_hydroelectric_1,1,9254.616000000166,11.2,0.09432705479452225
TRE_solar_photovoltaic_1,1,1.8218082475536652e7,11155.6,0.18642563199759787
TRE_WEST_batteries_1,2,1.115667084055027e6,1937.5,0.0
TRE_WEST_natural_gas_fired_combined_cycle_1,2,1.5413977064321557e7,3197.2,0.5503523154221687
TRE_WEST_natural_gas_fired_combined_cycle_2,2,6943.290919061032,54.22751420697466,0.014616438356164376
TRE_WEST_natural_gas_fired_combustion_turbine_1,2,11017.359958276684,872.0,0.0014423044643967424
TRE_WEST_natural_gas_fired_combustion_turbine_2,2,4368.0,336.0,0.0014840182648401827
TRE_WEST_natural_gas_internal_combustion_engine_1,2,11003.35600000031,9.1,0.13803196347032354
TRE_WEST_natural_gas_steam_turbine_1,2,-1.2562395568238571e-11,0.0,0.0
TRE_WEST_onshore_wind_turbine_1,2,5.542934200814751e7,25534.36299210674,0.24780529905943127
TRE_WEST_petroleum_liquids_1,2,0.0,0.0,0.0
TRE_WEST_solar_photovoltaic_1,2,1.807262130668569e7,9661.6,0.2135344688303053
TRE_distributed_generation_1,1,1.6898698641000044e7,8153.0,0.2366092465753431
TRE_WEST_distributed_generation_1,2,918199.0120000045,443.0,0.2366077625570788
TRE_naturalgas_ccccsavgcf_conservative_0,1,-1.248907157684504e-9,0.0,0.0
TRE_naturalgas_ccavgcf_moderate_0,1,-1.256472682044452e-9,0.0,0.0
TRE_naturalgas_ctavgcf_moderate_0,1,-6.345798650893996e-10,0.0,0.0
TRE_battery_moderate_0,1,0.0,0.0,0.0
TRE_nuclear_nuclear_moderate_0,1,-1.872259067161441e-10,0.0,0.0
TRE_geothermal_hydroflash_moderate_0,1,0.0,0.0,0.0
TRE_landbasedwind_class3_moderate_0,1,1.8306982475449264e8,42837.293922285935,0.48785485514566584
TRE_landbasedwind_class3_moderate_1,1,0.0,0.0,0.0
TRE_landbasedwind_class3_moderate_2,1,0.0,0.0,0.0
TRE_landbasedwind_class3_moderate_3,1,0.0,0.0,0.0
TRE_landbasedwind_class3_moderate_4,1,0.0,0.0,0.0
TRE_landbasedwind_class3_moderate_5,1,0.0,0.0,0.0
TRE_landbasedwind_class3_moderate_6,1,0.0,0.0,0.0
TRE_landbasedwind_class3_moderate_7,1,0.0,0.0,0.0
TRE_landbasedwind_class3_moderate_8,1,0.0,0.0,0.0
TRE_utilitypv_class1_moderate_0,1,0.0,0.0,0.0
TRE_utilitypv_class1_moderate_1,1,0.0,0.0,0.0
TRE_utilitypv_class1_moderate_2,1,4.6206800312028885e7,20673.90010033207,0.2551404847884749
TRE_utilitypv_class1_moderate_3,1,0.0,0.0,0.0
TRE_utilitypv_class1_moderate_4,1,0.0,0.0,0.0
TRE_utilitypv_class1_moderate_5,1,0.0,0.0,0.0
TRE_utilitypv_class1_moderate_6,1,0.0,0.0,0.0
TRE_utilitypv_class1_moderate_7,1,0.0,0.0,0.0
TRE_utilitypv_class1_moderate_8,1,0.0,0.0,0.0
TRE_offshorewind_class3_moderate_fixed_0_1,1,0.0,0.0,0.0
TRE_offshorewind_class3_moderate_fixed_0_2,1,0.0,0.0,0.0
TRE_offshorewind_class12_moderate_floating_0_1,1,0.0,0.0,0.0
TRE_offshorewind_class12_moderate_floating_0_2,1,0.0,0.0,0.0
TRE_WEST_naturalgas_ccccsavgcf_conservative_0,2,2.520018505180795e-11,0.0,0.0
TRE_WEST_naturalgas_ccavgcf_moderate_0,2,1.7525048079392036e-10,0.0,0.0
TRE_WEST_naturalgas_ctavgcf_moderate_0,2,2.3590018827235326e-12,0.0,0.0
TRE_WEST_battery_moderate_0,2,0.0,0.0,0.0
TRE_WEST_nuclear_nuclear_moderate_0,2,4.7471070804581e-10,0.0,0.0
TRE_WEST_geothermal_hydroflash_moderate_0,2,0.0,0.0,0.0
TRE_WEST_landbasedwind_class3_moderate_0,2,0.0,0.0,0.0
TRE_WEST_landbasedwind_class3_moderate_1,2,4.10745843308375e6,930.7198515282834,0.5037906392694089
TRE_WEST_landbasedwind_class3_moderate_2,2,0.0,0.0,0.0
TRE_WEST_landbasedwind_class3_moderate_3,2,0.0,0.0,0.0
TRE_WEST_landbasedwind_class3_moderate_4,2,0.0,0.0,0.0
TRE_WEST_landbasedwind_class3_moderate_5,2,0.0,0.0,0.0
TRE_WEST_landbasedwind_class3_moderate_6,2,0.0,0.0,0.0
TRE_WEST_landbasedwind_class3_moderate_7,2,0.0,0.0,0.0
TRE_WEST_landbasedwind_class3_moderate_8,2,0.0,0.0,0.0
TRE_WEST_utilitypv_class1_moderate_0,2,0.0,0.0,0.0
TRE_WEST_utilitypv_class1_moderate_1,2,1.384675312128186e7,5519.451409824463,0.2863834578272477
TRE_WEST_utilitypv_class1_moderate_2,2,0.0,0.0,0.0
TRE_WEST_utilitypv_class1_moderate_3,2,0.0,0.0,0.0
TRE_WEST_utilitypv_class1_moderate_4,2,0.0,0.0,0.0
TRE_WEST_utilitypv_class1_moderate_5,2,0.0,0.0,0.0
TRE_WEST_utilitypv_class1_moderate_6,2,0.0,0.0,0.0
TRE_WEST_utilitypv_class1_moderate_7,2,0.0,0.0,0.0
TRE_WEST_utilitypv_class1_moderate_8,2,0.0,0.0,0.0
TRE_trans_light_duty_1,1,2.6949791862268925e7,12178.9,0.0
TRE_WEST_trans_light_duty_1,2,1.4773171764000047e6,661.2,0.0
TRE_comm_water_heat_1,1,635745.4704134626,151.8,0.0
TRE_WEST_comm_water_heat_1,2,34229.3666000001,8.2,0.0
TRE_res_water_heat_1,1,1.982802843493363e6,661.8,0.0
TRE_WEST_res_water_heat_1,2,108310.22819999972,35.9,0.0
TRE_comm_space_heat_cool_1,1,3.5567030821271325e6,3437.3,0.0
TRE_WEST_comm_space_heat_cool_1,2,192659.21733334544,186.6,0.0
TRE_res_space_heat_cool_1,1,9.337917374879226e6,6078.6,0.0
TRE_WEST_res_space_heat_cool_1,2,508082.6711963483,330.0,0.0
