Costs,Total,Zone1,Zone2
cTotal,1.3739290909402958e10,1.1559940289880974e10,2.1273150772932847e9
cFix,1.1055270726253578e10,9.165290554190468e9,1.8379446298291094e9
cVar,2.4490100253241334e9,2.1770137523539047e9,2.719962729691305e8
cNSE,1.3644639891211126e7,1.3525851891211126e7,118788.0
cStart,2.2136551794043666e8,2.0411013144539112e8,1.7255386495044794e7
cUnmetRsv,0.0,-,-
cNetworkExp,0.0,-,-
cUnmetPolicyPenalty,0.0,-,-
cCO2_seq,1.673632895364355e-8,1.7080985473670023e-8,-3.446565200265005e-10
cCO2_tax,0.0,0,0
