Resource,R_ID,built_in_DAC,not_built,retired_in_bc
TRE_nuclear_nuclear_moderate_0,33,false,true,false
TRE_landbasedwind_class3_moderate_0,35,true,false,false
TRE_landbasedwind_class3_moderate_1,36,false,true,false
TRE_landbasedwind_class3_moderate_2,37,false,true,false
TRE_landbasedwind_class3_moderate_3,38,false,true,false
TRE_landbasedwind_class3_moderate_4,39,false,true,false
TRE_landbasedwind_class3_moderate_5,40,false,true,false
TRE_landbasedwind_class3_moderate_6,41,false,true,false
TRE_landbasedwind_class3_moderate_7,42,false,true,false
TRE_landbasedwind_class3_moderate_8,43,false,true,false
TRE_utilitypv_class1_moderate_0,44,false,true,false
TRE_utilitypv_class1_moderate_1,45,false,true,false
TRE_utilitypv_class1_moderate_2,46,true,false,false
TRE_utilitypv_class1_moderate_3,47,false,true,false
TRE_utilitypv_class1_moderate_4,48,false,true,false
TRE_utilitypv_class1_moderate_5,49,false,true,false
TRE_utilitypv_class1_moderate_6,50,false,true,false
TRE_utilitypv_class1_moderate_7,51,false,true,false
TRE_utilitypv_class1_moderate_8,52,false,true,false
TRE_offshorewind_class3_moderate_fixed_0_1,53,false,true,false
TRE_offshorewind_class3_moderate_fixed_0_2,54,false,true,false
TRE_offshorewind_class12_moderate_floating_0_1,55,false,true,false
TRE_offshorewind_class12_moderate_floating_0_2,56,false,true,false
TRE_WEST_nuclear_nuclear_moderate_0,61,false,true,false
TRE_WEST_landbasedwind_class3_moderate_0,63,false,true,false
TRE_WEST_landbasedwind_class3_moderate_1,64,true,false,false
TRE_WEST_landbasedwind_class3_moderate_2,65,false,true,false
TRE_WEST_landbasedwind_class3_moderate_3,66,false,true,false
TRE_WEST_landbasedwind_class3_moderate_4,67,false,true,false
TRE_WEST_landbasedwind_class3_moderate_5,68,false,true,false
TRE_WEST_landbasedwind_class3_moderate_6,69,false,true,false
TRE_WEST_landbasedwind_class3_moderate_7,70,false,true,false
TRE_WEST_landbasedwind_class3_moderate_8,71,false,true,false
TRE_WEST_utilitypv_class1_moderate_0,72,false,true,false
TRE_WEST_utilitypv_class1_moderate_1,73,true,false,false
TRE_WEST_utilitypv_class1_moderate_2,74,false,true,false
TRE_WEST_utilitypv_class1_moderate_3,75,false,true,false
TRE_WEST_utilitypv_class1_moderate_4,76,false,true,false
TRE_WEST_utilitypv_class1_moderate_5,77,false,true,false
TRE_WEST_utilitypv_class1_moderate_6,78,false,true,false
TRE_WEST_utilitypv_class1_moderate_7,79,false,true,false
TRE_WEST_utilitypv_class1_moderate_8,80,false,true,false
